LONCOD,LATCOD,CDCODE,year,school,city,state,address,urbanrural,race,killed,injured,victims,date,type,NCESSCH,time
-84.310484,33.554474,1313,2018,Mount Zion High School,Jonesboro,Georgia,2535 Mt Zion Pkwy,suburbtown,BLACK,1,1,2,18-May-18,High School,130123002068,8:00PM
-95.141171,29.392106,4814,2018,Santa Fe High School,Santa Fe,Texas,16000 Hwy 6,suburbtown,WHITE,10,13,23,18-May-18,High School,483927004473,7:30AM
-86.031354,40.077165,1805,2018,Noblesville West Middle School,Noblesville,Indiana,19900 Hague Rd,suburbtown,WHITE,0,2,2,25-May-18,Middle School,180765000639,9:00AM
-96.689761,32.779362,4830,2018,Skyline High School,Dallas,Texas,7777 Forney Road,urban,HISP,0,1,1,21-Jun-18,High School,481623001357,5:00AM
-76.286196,39.423364,2402,2018,Edgewood High School,Edgewood,Maryland,2415 Willoughby Beach Rd,suburbtown,BLACK,0,1,1,3-Aug-18,High School,240039000690,9:15PM
-75.04217,39.417662,3402,2018,Lakeside Middle School,Millville,New Jersey,2 Sharp St N,suburbtown,WHITE,1,0,1,9-Aug-18,Middle School,341032000271,8:15PM
-86.598953,36.047367,4705,2018,Antioch High School,Antioch,Tennessee,1900 Hobson Pike,urban,BLACK,0,1,1,11-Aug-18,High School,470318001257,6:00PM
-80.179645,26.652514,1221,2018,Palm Beach Central High School,Wellington,Florida,8499 W Forest Hill Blvd,suburbtown,WHITE,0,2,2,17-Aug-18,High School,120150004121,9:15PM
-81.709708,30.382218,1205,2018,Raines High School,Jacksonville,Florida,3663 Raines Ave,urban,BLACK,1,2,3,24-Aug-18,High School,120048000714,10:00PM
-115.135695,36.233566,3204,2018,Canyon Springs High School,Las Vegas,Nevada,350 E Alexander Rd,suburbtown,HISP,1,0,1,11-Sep-18,High School,320006000567,2:40PM
-96.858636,33.035521,4824,2018,Hebron High School,Carrollton,Texas,4207 Plano Pkwy,suburbtown,WHITE,0,1,1,27-Sep-18,High School,482730008195,8:38PM
-149.881113,61.213281,200,2018,Denali Elementary School,Anchorage,Alaska,952 Cordova St,urban,WHITE,0,1,1,3-Oct-18,Elementary School,20018000072,9:30AM
-77.378427,37.471892,5104,2018,Varina High School,Henrico,Virginia,7053 Messer Rd,rural,BLACK,0,1,1,7-Oct-18,High School,510189000835,9:30PM
-80.691593,35.120282,3709,2018,Butler High School,Matthews,North Carolina,1810 Matthews Mint Hill Rd,suburbtown,WHITE,1,0,1,29-Oct-18,High School,370297002324,7:15AM
-76.382449,36.826811,5103,2018,Simonsdale Elementary School,Portsmouth,Virginia,4841 Clifford St,urban,WHITE,0,1,1,20-Nov-18,Elementary School,510300001257,4:00PM
-83.229837,36.784261,2105,2018,Cawood Elementary School,Cawood,Kentucky,51 Nola St,rural,WHITE,0,2,2,11-Dec-18,Elementary School,210254000534,9:00PM
